2025-08-26 11:38:16,865 - ex_process.py#20 - 25676 - (MainThread) - INFO     - Demonstration of logging a process
2025-08-26 11:38:24,540 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:24.539705", "memory_info": {"rss": 325238784, "vms": 35985137664, "pfaults": 334740, "pageins": 306}, "cpu_times": {"user": 0.006174567, "system": 0.008419326, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 7.829370737075806, "pid": 25676}
2025-08-26 11:38:25,045 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:25.045427", "memory_info": {"rss": 325238784, "vms": 35985137664, "pfaults": 334740, "pageins": 306}, "cpu_times": {"user": 0.006189953, "system": 0.008421632, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 8.335109949111938, "pid": 25676}
2025-08-26 11:38:25,551 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:25.551186", "memory_info": {"rss": 12759040, "vms": 35672645632, "pfaults": 334740, "pageins": 306}, "cpu_times": {"user": 0.006207413, "system": 0.008829418, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 8.840871810913086, "pid": 25676}
2025-08-26 11:38:26,053 - process.py#293 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:26.052689", "memory_info": {"rss": 240304128, "vms": 35900203008, "pfaults": 390293, "pageins": 306}, "cpu_times": {"user": 0.007143752, "system": 0.010078869, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 9.342360734939575, "pid": 25676, "label": "String of 217.000 MB"}
2025-08-26 11:38:26,558 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:26.557695", "memory_info": {"rss": 240304128, "vms": 35900203008, "pfaults": 390293, "pageins": 306}, "cpu_times": {"user": 0.007159061, "system": 0.010081677, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 9.847376823425293, "pid": 25676}
2025-08-26 11:38:27,061 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:27.060774", "memory_info": {"rss": 12759040, "vms": 35672645632, "pfaults": 390293, "pageins": 306}, "cpu_times": {"user": 0.007175687, "system": 0.010416982, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 10.350438833236694, "pid": 25676}
2025-08-26 11:38:27,566 - process.py#293 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:27.566566", "memory_info": {"rss": 394448896, "vms": 36054343680, "pfaults": 483479, "pageins": 306}, "cpu_times": {"user": 0.00847815, "system": 0.012163545, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 10.856239795684814, "pid": 25676, "label": "String of 364.000 MB"}
2025-08-26 11:38:28,070 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:28.070544", "memory_info": {"rss": 394448896, "vms": 36054343680, "pfaults": 483479, "pageins": 306}, "cpu_times": {"user": 0.008494088, "system": 0.01216573, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 11.36022686958313, "pid": 25676}
2025-08-26 11:38:28,576 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:28.576279", "memory_info": {"rss": 12763136, "vms": 35672645632, "pfaults": 483479, "pageins": 306}, "cpu_times": {"user": 0.008510962, "system": 0.012713346, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 11.865957975387573, "pid": 25676}
2025-08-26 11:38:29,080 - process.py#293 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:29.079796", "memory_info": {"rss": 260231168, "vms": 35920125952, "pfaults": 543896, "pageins": 306}, "cpu_times": {"user": 0.009478781, "system": 0.014042459, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 12.36946988105774, "pid": 25676, "label": "String of 236.000 MB"}
2025-08-26 11:38:29,581 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:29.580670", "memory_info": {"rss": 260231168, "vms": 35920125952, "pfaults": 543896, "pageins": 306}, "cpu_times": {"user": 0.009495085, "system": 0.014045424, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 12.870393753051758, "pid": 25676}
2025-08-26 11:38:30,086 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:30.086506", "memory_info": {"rss": 12763136, "vms": 35672645632, "pfaults": 543896, "pageins": 306}, "cpu_times": {"user": 0.009512196, "system": 0.014343287, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 13.376182079315186, "pid": 25676}
2025-08-26 11:38:30,188 - process.py#289 - 25676 - (MainThread) - INFO     - ProcessLoggingThread-JSON-STOP {"timestamp": "2025-08-26 11:38:30.188399", "memory_info": {"rss": 12779520, "vms": 35672645632, "pfaults": 543900, "pageins": 306}, "cpu_times": {"user": 0.009527169, "system": 0.014346574, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 13.478035926818848, "pid": 25676}
