# File ID /Users/paulross/PycharmProjects/TotalDepth/tmp/pymemtrace/L/20260606_105539_0_23879_O_0_PY3.13.13.log
# Clock LASRead LASSection LogRecord XhtmlStream RSS dRSS
0.558128    0    0    -1   0   46817280   0  
0.558606    0    0    0    0   46829568   0  
0.559115    0    0    1    0   46829568   0  
0.559241    0    0    0    0   46829568   0  
0.559383    0    0    -1   0   46829568   0  
0.561223    0    0    0    0   46850048   0  
0.561455    0    0    -1   0   46850048   0  
0.561971    0    0    0    0   46850048   0  
0.562213    0    0    -1   0   46858240   0  
0.562236    0    0    0    0   46858240   0  
0.562441    0    0    -1   0   46858240   0  
0.562622    1    0    -1   0   46858240   0  
0.563069    1    1    -1   0   46862336   0  
0.563562    1    2    -1   0   46870528   0  
0.565596    1    3    -1   0   46874624   0  
0.572772    1    4    -1   0   46891008   0  
0.812548    1    4    0    0   52641792   0  
0.812795    1    4    -1   0   52645888   0  
1.067885    1    4    0    0   52686848   0  
1.068113    1    4    -1   0   52686848   0  
1.080907    1    4    0    0   52686848   0  
1.081112    1    4    -1   0   52686848   0  
1.339001    1    4    0    0   52748288   0  
1.33923     1    4    -1   0   52748288   0  
1.576723    1    4    0    0   52801536   0  
1.576948    1    4    -1   0   52805632   0  
1.598793    1    4    0    0   52809728   0  
1.598998    1    4    -1   0   52809728   0  
1.854609    1    4    0    0   52854784   0  
1.854875    1    4    -1   0   52858880   0  
2.08088     1    4    0    0   52879360   0  
2.081118    1    4    -1   0   52879360   0  
2.11488     1    4    0    0   52899840   0  
2.115132    1    4    -1   0   52899840   0  
2.370166    1    4    0    0   52940800   0  
2.370413    1    4    -1   0   52940800   0  
2.587779    1    4    0    0   52985856   0  
2.587991    1    4    -1   0   52985856   0  
2.627909    1    4    0    0   52985856   0  
2.62811     1    4    -1   0   52985856   0  
2.888559    1    4    0    0   53026816   0  
2.888798    1    4    -1   0   53026816   0  
3.094745    1    4    0    0   53067776   0  
3.094961    1    4    -1   0   53067776   0  
3.146583    1    4    0    0   53067776   0  
3.146835    1    4    -1   0   53067776   0  
3.403068    1    4    0    0   53108736   0  
3.40335     1    4    -1   0   53108736   0  
3.60439     1    4    0    0   53633024   0  
3.604635    1    4    -1   0   53633024   0  
3.662738    1    4    0    0   53862400   0  
3.662961    1    4    -1   0   53862400   0  
3.736525    1    4    -1   1   52658176   0  
3.916964    1    4    0    1   53161984   0  
3.917197    1    4    -1   1   53161984   0  
4.109116    1    4    0    1   53166080   0  
4.109354    1    4    -1   1   53166080   0  
4.17603     1    4    0    1   53248000   0  
4.176264    1    4    -1   1   53248000   0  
4.429714    1    4    0    1   53248000   0  
4.435673    1    4    -1   1   53248000   0  
4.613201    1    4    0    1   53350400   0  
4.619849    1    4    -1   1   53350400   0  
4.693388    1    4    0    1   53350400   0  
4.693693    1    4    -1   1   53350400   0  
4.892327    1    4    0    1   53366784   0  
4.89271     1    4    -1   1   53366784   0  
5.069284    1    4    0    1   53366784   0  
5.069605    1    4    -1   1   53366784   0  
5.148738    1    4    0    1   53366784   0  
5.155075    1    4    -1   1   53366784   0  
5.413001    1    4    0    1   53374976   0  
5.413232    1    4    -1   1   53374976   0  
5.490033    1    4    -1   0   53379072   0  
5.490662    1    4    0    0   53379072   0  
5.490892    1    4    -1   0   53379072   0  
5.490914    1    4    0    0   53379072   0  
5.491093    1    4    -1   0   53379072   0  
5.491134    2    4    -1   0   53379072   0  
5.491386    2    5    -1   0   53379072   0  
5.491693    2    6    -1   0   53379072   0  
5.493436    2    7    -1   0   53379072   0  
5.499475    2    8    -1   0   53379072   0  
5.571578    2    8    0    0   59883520   0  
5.577679    2    8    -1   0   59883520   0  
5.672712    2    8    0    0   59883520   0  
5.672935    2    8    -1   0   59883520   0  
5.932121    2    8    0    0   59916288   0  
5.93237     2    8    -1   0   59916288   0  
6.087468    2    8    0    0   59949056   0  
6.087681    2    8    -1   0   59949056   0  
6.192799    2    8    0    0   59981824   0  
6.193008    2    8    -1   0   59981824   0  
6.45409     2    8    0    0   60014592   0  
6.454327    2    8    -1   0   60014592   0  
6.594772    2    8    0    0   60047360   0  
6.595033    2    8    -1   0   60047360   0  
6.712542    2    8    0    0   60047360   0  
6.712753    2    8    -1   0   60047360   0  
6.970672    2    8    0    0   60112896   0  
6.970912    2    8    -1   0   60112896   0  
7.102843    2    8    0    0   60112896   0  
7.10335     2    8    -1   0   60116992   0  
7.229048    2    8    0    0   60149760   0  
7.235717    2    8    -1   0   60149760   0  
7.491936    2    8    0    0   60182528   0  
7.492342    2    8    -1   0   60182528   0  
7.608764    2    8    0    0   60215296   0  
7.60901     2    8    -1   0   60215296   0  
7.749243    2    8    0    0   60215296   0  
7.749493    2    8    -1   0   60215296   0  
8.007564    2    8    0    0   60248064   0  
8.007785    2    8    -1   0   60248064   0  
8.117616    2    8    0    0   60280832   0  
8.117832    2    8    -1   0   60280832   0  
8.265915    2    8    0    0   60280832   0  
8.266129    2    8    -1   0   60280832   0  
8.526549    2    8    0    0   60346368   0  
8.526794    2    8    -1   0   60346368   0  
8.623388    2    8    0    0   60346368   0  
8.623632    2    8    -1   0   60346368   0  
8.785774    2    8    0    0   60379136   0  
8.78597     2    8    -1   0   60379136   0  
9.045138    2    8    0    0   60411904   0  
9.0455      2    8    -1   0   60411904   0  
9.132008    2    8    0    0   60444672   0  
9.132252    2    8    -1   0   60444672   0  
9.30712     2    8    0    0   60444672   0  
9.307335    2    8    -1   0   60444672   0  
9.564331    2    8    0    0   60510208   0  
9.564569    2    8    -1   0   60510208   0  
9.641045    2    8    0    0   60510208   0  
9.641276    2    8    -1   0   60510208   0  
9.825606    2    8    0    0   60542976   0  
9.82585     2    8    -1   0   60542976   0  
10.086718   2    8    0    0   60575744   0  
10.086923   2    8    -1   0   60575744   0  
10.150829   2    8    0    0   60608512   0  
10.15108    2    8    -1   0   60608512   0  
10.34811    2    8    0    0   60641280   0  
10.348357   2    8    -1   0   60641280   0  
10.607022   2    8    0    0   60674048   0  
